Age,Sex,Length,Diameter,Height,Weight,ShuckedWeight,VisceraWeight,ShellWeight
6,I,1.075,0.85,0.2625,12.48795475,6.76135575,2.11203775,3.04757125
6,I,0.5125,0.35,0.125,1.304077,0.46776675,0.340194,0.38271825
7,I,1.075,0.8,0.25,10.92873225,5.443104,2.11203775,2.83495
9,I,1.2125,0.8875,0.3,14.41572075,5.953395,3.458639,3.8271825
10,I,0.8875,0.675,0.25,6.123492,2.3530085,1.0489315,2.1262125
6,I,1.0375,0.775,0.2375,9.63883,5.1312595,1.6159215,2.3530085
5,I,0.5875,0.4,0.1,1.360776,0.52446575,0.510291,0.4252425
7,I,0.8,0.6375,0.25,4.97533725,2.0695135,1.17650425,1.8427175
7,I,0.8,0.6,0.1875,4.91863825,2.154562,1.00640725,1.417475
8,I,1.05,0.7875,0.275,11.41067375,5.25883225,2.3530085,2.87747425
9,I,1.475,1.15,0.3125,21.4038725,9.468733,4.252425,6.747181
7,I,0.9125,0.675,0.2125,6.30776375,2.65067825,1.48834875,1.871067
9,I,0.875,0.6625,0.275,5.9250455,1.871067,1.6726205,2.1262125
7,I,1.0875,0.825,0.275,10.77281,4.29494925,2.67902775,3.118445
7,I,0.6875,0.5,0.1625,2.93417325,1.34660125,0.58116475,0.850485
7,I,1.275,0.9875,0.325,17.08057375,7.9662095,4.0539785,4.592619
8,I,1.25,0.9625,0.275,16.896302,8.54737425,2.948348,4.2807745
15,I,1.55,1.2125,0.425,34.246196,13.62193475,8.63242275,9.355335
6,I,1,0.775,0.2875,8.901743,4.37999775,1.68679525,2.4664065
5,I,0.85,0.625,0.1875,5.06038575,1.88524175,1.28990225,1.2757275
7,I,1.0875,0.8125,0.25,10.375917,4.932813,2.05533875,3.0900955
5,I,0.675,0.5,0.175,2.83495,0.963883,0.69456275,0.9922325
6,I,0.425,0.3125,0.1375,0.66621325,0.2551455,0.15592225,0.226796
8,I,0.9,0.675,0.225,6.577084,3.40194,1.23320325,1.587572
