Age,Sex,Length,Diameter,Height,Weight,ShuckedWeight,VisceraWeight,ShellWeight
10,M,1.3125,0.9125,0.425,27.22969475,12.417081,6.30776375,7.824462
14,M,1.3875,1.05,0.3625,24.64989025,8.71747125,7.29999625,7.087375
12,M,1.55,1.2125,0.3875,29.18581025,12.0485375,6.56290925,9.4970825
14,M,1.25,0.9625,0.3,17.95940825,6.53455975,3.5436875,6.6621325
6,M,0.8375,0.5875,0.2125,4.37999775,1.871067,0.97805775,1.2757275
8,M,1.1375,0.875,0.275,12.984071,5.6699,3.1467945,3.69960975
10,M,1.65,1.275,0.45,35.7487195,14.17475,6.61960825,9.6104805
9,M,1.55,1.25,0.4125,37.0527965,18.01610725,7.21494775,8.9300925
10,M,1.5625,1.2,0.425,38.42774725,19.0225145,7.597666,9.59630575
10,M,1.65,1.2375,0.4875,46.13881125,16.839603,10.19164525,13.7495075
8,M,1.225,0.9625,0.3125,17.2648455,8.68912175,2.721552,5.03203625
5,M,0.6875,0.5,0.2,2.8066005,1.0489315,0.680388,0.850485
14,M,1.5,1.1875,0.475,30.83008125,11.4248485,7.52679225,9.2135875
23,M,1.2625,0.95,0.325,18.597272,6.4353365,5.06038575,6.23689
11,M,1.8,1.3625,0.4875,49.54075125,23.28911425,10.8578585,13.33843975
6,M,0.675,0.5,0.2,3.41611475,1.31825175,0.793786,1.13398
17,M,1.4125,1.175,0.4875,32.375129,10.9712565,7.314171,9.922325
12,M,1.55,1.175,0.375,37.1094955,16.6411565,12.48795475,9.2135875
11,M,1.3,1.025,0.2875,21.829115,7.4559185,4.4508715,7.37087
15,M,1.525,1.1875,0.4125,31.638042,12.133586,6.25106475,8.9300925
12,M,1.625,1.275,0.4375,32.7436725,14.04717725,5.74077375,10.9145575
10,M,1.7375,1.325,0.525,42.807745,18.824068,11.60912025,10.9145575
12,M,1.375,1.125,0.3875,22.38193025,9.7238785,4.5075705,7.087375
15,M,1.6375,1.325,0.4375,35.81959325,13.777857,7.47009325,11.7650425
10,M,1.5625,1.2,0.4375,30.1922175,13.79203175,7.3425205,8.0796075
11,M,1.4125,1.125,0.35,28.50542225,10.73028575,6.917278,7.5126175
8,M,1.1875,0.9625,0.3,15.932419,8.1930055,2.56562975,4.3374735
10,M,1.5375,1.2,0.4625,34.60056475,14.13222575,8.9300925,9.355335
9,M,1.375,1.025,0.325,24.67823975,12.62970225,5.99591925,6.0384435
11,M,1.6125,1.3125,0.4,42.73687125,21.13455225,6.9456275,12.26115875
10,M,1.425,1.1,0.3625,24.99008425,10.21999475,5.54232725,7.75358825
18,M,1.5375,1.2,0.475,38.55532,15.03940975,6.73300625,13.324265
14,M,1.475,1.125,0.3,21.21960075,9.48290775,3.72795925,6.23689
15,M,1.1625,0.875,0.35,16.31513725,5.71242425,4.26659975,5.386405
10,M,1.6,1.2875,0.4125,38.8104655,17.916884,9.68135425,10.149121
7,M,0.8,0.6,0.2125,4.819415,1.85689225,1.3324265,1.3891255
11,M,1.575,1.2,0.375,36.0322145,18.72484475,6.87475375,8.788345
15,M,1.2875,1.0125,0.3625,19.7029025,6.0951425,4.63514325,6.633783
13,M,1.3625,1.05,0.3125,27.62658775,10.0073735,4.932813,8.6465975
12,M,1.8625,1.4375,0.5,53.410458,27.045423,9.525432,14.0330025
19,M,1.75,1.3375,0.4,48.91706225,17.860185,7.47009325,15.30873
10,M,1.45,1.1,0.375,29.66775175,14.685041,6.19436575,7.92368525
7,M,1.1375,0.9375,0.3125,13.721158,6.10931725,2.891649,4.6776675
9,M,1.0625,0.875,0.2625,11.1413535,3.685435,1.7860185,4.6776675
13,M,1.1875,0.9875,0.3375,16.782904,6.98815175,4.66349275,5.6699
8,M,1.575,1.2,0.375,33.40988575,14.69921575,7.030676,9.17106325
15,M,1.05,0.8125,0.2875,8.17883075,2.83495,1.6159215,3.21766825
12,M,1.55,1.1625,0.4625,36.117263,16.4143605,8.68912175,9.07184
15,M,1.325,1.0875,0.4,25.0326085,8.958442,4.649318,9.4970825
8,M,1.4375,1.1375,0.4125,24.5790165,10.67358675,5.11708475,7.597666
16,M,1.3625,1.125,0.375,27.725811,9.53960675,5.40057975,8.50485
10,M,1.475,1.1875,0.35,27.6974615,13.11164375,5.74077375,7.7961125
21,M,1.8375,1.475,0.5625,49.781722,18.0586315,9.65300475,16.44271
10,M,1.5,1.1625,0.3875,35.777069,17.70426275,6.95980225,9.355335
6,M,1.0375,0.7625,0.25,9.2135875,4.422522,1.43164975,2.5798045
10,M,1.725,1.2625,0.5,53.070264,25.3161035,11.38232425,13.60776
9,M,1.4875,1.1375,0.375,29.596878,14.685041,6.25106475,7.654365
10,M,1.2375,0.95,0.3,13.437663,5.5848515,3.01922175,4.37999775
11,M,1.1375,0.875,0.2625,11.793392,4.60679375,2.7499015,4.1106775
9,M,1.4,1.125,0.3625,25.344453,11.01378075,5.93922025,7.484268
5,M,0.7125,0.5375,0.1875,3.005047,1.17650425,0.6520385,0.9922325
8,M,0.6375,0.4875,0.1625,2.26796,0.89300925,0.510291,0.7654365
12,M,1.6625,1.3,0.4375,38.90968875,17.179797,9.07184,11.1980525
11,M,1.5625,1.2125,0.425,40.7382315,16.59863225,8.3064035,13.4660125
12,M,1.5875,1.25,0.425,40.66735775,17.3215445,8.7599955,11.850091
11,M,1.8625,1.4125,0.5375,54.7428845,25.401152,12.99824575,14.17475
9,M,1.1625,0.85,0.2625,13.777857,6.5487345,2.93417325,3.47281375
11,M,1.575,1.2875,0.4375,33.89182725,13.947954,7.0023265,10.489315
12,M,1.6125,1.2375,0.475,43.6298805,17.33571925,11.566596,12.6155275
10,M,1.45,1.1375,0.3375,22.55202725,11.4815475,4.7343665,5.783298
9,M,1.5,1.125,0.3625,24.8625115,12.26115875,4.3941725,6.80388
